Photon Energy,V1,V3,V5
9,0.00083583,2.6404e-05,0.00041403
10,0.0021143,0.00011412,0.00077867
11,0.0047645,0.00042776,0.0015428
12,0.0097646,0.0014649,0.0029913
13,0.01824,0.0041467,0.0058035
14,0.031113,0.0097186,0.010832
15,0.049135,0.01983,0.019086
16,0.072678,0.035183,0.031512
17,0.10108,0.056164,0.048909
18,0.13452,0.083415,0.071591
19,0.1708,0.1159,0.098474
20,0.20919,0.15217,0.12885
21,0.24939,0.19137,0.16349
22,0.29167,0.23385,0.20084
23,0.33322,0.27748,0.24088
24,0.37348,0.32097,0.28171
25,0.41337,0.3639,0.32233
26,0.45222,0.4078,0.36434
27,0.48875,0.45082,0.40399
28,0.52471,0.48937,0.44384
29,0.55386,0.52752,0.48112
30,0.58406,0.56409,0.51679
31,0.61198,0.59943,0.55391
32,0.63962,0.63189,0.58705
33,0.66629,0.66392,0.61871
34,0.69148,0.6944,0.65311
35,0.71432,0.71936,0.68272
36,0.73564,0.74955,0.71284
37,0.7574,0.77381,0.73847
38,0.77718,0.7986,0.76403
39,0.79363,0.81897,0.78669
40,0.81075,0.83792,0.80639
41,0.82391,0.85488,0.82719
42,0.83935,0.87258,0.84885
43,0.84975,0.88682,0.86454
44,0.86338,0.90121,0.88299
45,0.8771,0.91859,0.90091
46,0.8857,0.93117,0.91449
47,0.89767,0.94599,0.92882
48,0.90676,0.95653,0.94479
49,0.91719,0.9684,0.95507
50,0.9253,0.98087,0.96429
51,0.93172,0.9872,0.97324
52,0.9368,0.99436,0.98302
53,0.9457,1.0031,0.99217
54,0.95372,1.0111,1.0018
55,0.95872,1.0143,1.0076
56,0.96344,1.0203,1.0153
57,0.9704,1.0285,1.0216
58,0.97136,1.0334,1.0247
59,0.97525,1.0335,1.0254
60,0.97436,1.0337,1.0287
61,0.9734,1.0338,1.0298
62,0.9747,1.0356,1.0265
63,0.97796,1.0383,1.0298
64,0.97861,1.0382,1.0331
65,0.98172,1.037,1.0309
66,0.98315,1.0392,1.0363
67,0.98622,1.0408,1.0401
68,0.9875,1.0402,1.0402
69,0.98744,1.0412,1.0393
70,0.99011,1.0423,1.0394
