HVL 8 10 12 14 16 18 Glandularity "breast height"
1.25 0.509 0.464 0.426 0.394 0.367 0.343 0.1% 1x
1.30 0.518 0.473 0.435 0.403 0.375 0.352 0.1% 1x
1.35 0.528 0.483 0.445 0.412 0.384 0.36 0.1% 1x
1.40 0.537 0.492 0.454 0.421 0.393 0.369 0.1% 1x
1.45 0.546 0.501 0.463 0.429 0.401 0.377 0.1% 1x
1.50 0.554 0.509 0.471 0.437 0.409 0.384 0.1% 1x
1.25 0.49 0.444 0.406 0.374 0.347 0.324 14.3% 1x
1.30 0.5 0.454 0.415 0.383 0.356 0.333 14.3% 1x
1.35 0.51 0.463 0.425 0.392 0.365 0.341 14.3% 1x
1.40 0.519 0.473 0.433 0.401 0.373 0.349 14.3% 1x
1.45 0.528 0.481 0.442 0.409 0.381 0.357 14.3% 1x
1.50 0.536 0.489 0.45 0.417 0.388 0.364 14.3% 1x
1.25 0.479 0.432 0.393 0.361 0.335 0.312 25% 1x
1.30 0.488 0.441 0.402 0.37 0.343 0.32 25% 1x
1.35 0.498 0.451 0.412 0.379 0.352 0.329 25% 1x
1.40 0.508 0.46 0.42 0.388 0.36 0.336 25% 1x
1.45 0.516 0.468 0.429 0.396 0.368 0.344 25% 1x
1.50 0.525 0.477 0.437 0.404 0.375 0.351 25% 1x
1.25 0.45 0.402 0.364 0.333 0.307 0.285 50% 1x
1.30 0.46 0.411 0.373 0.341 0.315 0.293 50% 1x
1.35 0.47 0.421 0.382 0.35 0.323 0.301 50% 1x
1.40 0.479 0.43 0.391 0.358 0.331 0.308 50% 1x
1.45 0.488 0.438 0.399 0.366 0.338 0.315 50% 1x
1.50 0.496 0.446 0.407 0.373 0.346 0.322 50% 1x
1.25 0.397 0.35 0.314 0.284 0.26 0.24 100% 1x
1.30 0.406 0.359 0.322 0.292 0.267 0.247 100% 1x
1.35 0.416 0.368 0.33 0.299 0.274 0.253 100% 1x
1.40 0.425 0.377 0.338 0.307 0.281 0.26 100% 1x
1.45 0.433 0.385 0.346 0.314 0.288 0.267 100% 1x
1.50 0.441 0.392 0.353 0.321 0.295 0.273 100% 1x
1.25 0.532 0.486 0.445 0.411 0.381 0.355 0.1% 1.5x
1.30 0.542 0.496 0.455 0.421 0.391 0.364 0.1% 1.5x
1.35 0.553 0.507 0.465 0.431 0.4 0.374 0.1% 1.5x
1.40 0.563 0.517 0.475 0.44 0.41 0.383 0.1% 1.5x
1.45 0.572 0.526 0.484 0.449 0.418 0.391 0.1% 1.5x
1.50 0.581 0.535 0.493 0.458 0.427 0.399 0.1% 1.5x
1.25 0.511 0.464 0.423 0.389 0.36 0.335 14.3% 1.5x
1.30 0.521 0.474 0.433 0.399 0.369 0.344 14.3% 1.5x
1.35 0.532 0.484 0.443 0.409 0.379 0.353 14.3% 1.5x
1.40 0.542 0.494 0.453 0.418 0.388 0.361 14.3% 1.5x
1.45 0.551 0.504 0.462 0.427 0.396 0.369 14.3% 1.5x
1.50 0.56 0.512 0.471 0.435 0.404 0.377 14.3% 1.5x
1.25 0.498 0.45 0.409 0.376 0.347 0.322 25% 1.5x
1.30 0.509 0.46 0.419 0.385 0.356 0.33 25% 1.5x
1.35 0.519 0.47 0.429 0.395 0.365 0.339 25% 1.5x
1.40 0.529 0.48 0.439 0.404 0.374 0.347 25% 1.5x
1.45 0.539 0.49 0.448 0.413 0.382 0.355 25% 1.5x
1.50 0.547 0.498 0.456 0.421 0.39 0.363 25% 1.5x
